pixel,Red,Green,Blue
0,224,136,126
1,224,132,113
2,225,129,108
3,224,128,108
4,226,131,110
5,227,135,112
6,228,134,110
7,229,132,108
8,233,146,114
9,236,148,117
10,238,136,108
11,219,99,84
12,164,56,72
13,154,54,74
14,158,60,76
15,155,57,76
16,165,61,76
17,171,66,78
18,172,66,79
19,170,64,77
20,168,64,75
21,169,64,78
22,171,65,78
23,175,69,82
24,178,73,85
25,179,74,84
26,180,75,85
27,175,72,84
28,176,71,82
29,177,70,81
30,175,67,79
31,175,67,81
32,169,65,78
33,169,65,77
34,174,69,81
35,172,66,79
36,158,57,76
37,141,47,73
38,138,46,73
39,145,51,75
40,145,49,73
41,140,46,68
42,133,39,65
43,114,28,62
44,103,26,63
45,100,25,63
46,97,23,61
47,94,22,62
48,96,22,61
49,148,82,102
50,171,128,141
51,143,85,108
52,82,9,52
53,65,0,43
54,62,0,39
55,61,0,42
56,70,4,49
57,67,3,47
58,83,13,51
59,142,59,77
60,125,51,75
61,97,29,62
62,96,32,64
63,93,29,61
64,226,135,121
65,225,131,111
66,225,129,105
67,227,130,108
68,227,132,107
69,227,135,109
70,229,137,111
71,234,144,113
72,237,144,111
73,233,126,101
74,204,90,85
75,168,60,73
76,159,56,73
77,162,59,75
78,159,58,75
79,160,58,74
80,169,64,76
81,174,66,77
82,173,65,77
83,169,64,77
84,166,62,75
85,168,63,77
86,169,66,79
87,173,68,79
88,176,70,82
89,177,72,84
90,178,72,82
91,176,72,84
92,175,70,82
93,174,68,80
94,173,66,78
95,175,70,82
96,170,66,79
97,167,63,77
98,172,68,80
99,163,61,77
100,153,53,73
101,140,45,70
102,134,46,75
103,139,48,73
104,145,46,69
105,144,45,67
106,135,39,64
107,121,32,62
108,116,29,61
109,105,22,57
110,93,19,60
111,89,20,62
112,87,17,60
113,125,50,77
114,169,120,133
115,169,132,146
116,148,101,123
117,131,78,107
118,122,65,98
119,113,55,90
120,102,41,79
121,92,30,71
122,96,27,65
123,142,67,89
124,148,83,102
125,117,48,79
126,94,25,64
127,87,18,58
128,222,132,112
129,224,129,107
130,226,130,106
131,226,131,107
132,228,134,110
133,230,141,115
134,233,143,111
135,230,129,99
136,209,96,85
137,170,60,71
138,148,45,68
139,153,50,70
140,158,55,73
141,157,56,74
142,154,53,72
143,160,56,73
144,169,62,75
145,170,63,76
146,171,63,75
147,169,62,74
148,165,60,73
149,169,61,75
150,172,65,78
151,174,63,75
152,175,64,76
153,173,65,76
154,172,64,76
155,171,64,76
156,169,65,77
157,168,61,75
158,171,62,74
159,172,65,76
160,165,59,73
161,157,55,72
162,158,55,72
163,149,48,69
164,141,42,66
165,130,38,67
166,121,36,70
167,123,33,64
168,131,36,63
169,132,35,62
170,127,31,59
171,125,30,60
172,121,29,60
173,114,27,59
174,119,36,67
175,108,31,65
176,92,19,59
177,106,26,61
178,151,75,91
179,178,135,140
180,196,166,164
181,200,171,167
182,200,171,167
183,199,170,166
184,189,160,159
185,186,156,158
186,189,155,156
187,188,154,154
188,182,149,153
189,170,130,140
190,175,131,140
191,174,127,135
192,221,129,108
193,223,127,105
194,223,126,105
195,224,131,110
196,230,142,115
197,231,140,110
198,226,119,94
199,211,89,80
200,179,62,71
201,168,60,73
202,176,67,78
203,177,67,76
204,175,64,75
205,174,67,79
206,171,63,76
207,172,62,74
208,178,66,75
209,186,68,74
210,188,70,74
211,182,69,76
212,183,70,79
213,192,73,78
214,200,76,78
215,201,76,78
216,196,74,77
217,189,69,73
218,179,63,72
219,173,62,74
220,173,63,74
221,171,61,73
222,171,61,75
223,171,59,73
224,162,53,69
225,152,46,66
226,151,44,65
227,142,36,60
228,132,32,60
229,127,30,61
230,118,24,58
231,111,17,53
232,134,36,63
233,154,56,77
234,150,54,77
235,150,55,79
236,154,62,84
237,160,63,80
238,176,74,84
239,172,71,81
240,151,54,70
241,118,28,58
242,107,21,55
243,119,39,66
244,124,56,81
245,117,55,81
246,124,63,85
247,132,76,94
248,141,89,104
249,152,104,113
250,167,126,129
251,179,145,141
252,180,149,144
253,187,159,152
254,222,197,177
255,226,200,178
256,222,129,111
257,223,129,106
258,227,136,109
259,229,143,114
260,232,145,112
261,231,135,103
262,226,122,97
263,223,119,98
264,227,125,100
265,230,125,99
266,229,124,99
267,227,122,100
268,226,119,98
269,225,119,100
270,224,119,102
271,223,116,98
272,223,116,97
273,225,116,98
274,225,119,98
275,224,120,97
276,227,122,100
277,228,121,99
278,230,124,98
279,229,124,99
280,228,122,99
281,228,121,98
282,224,118,98
283,222,117,101
284,222,116,100
285,221,115,101
286,219,116,105
287,220,114,101
288,219,112,98
289,217,112,97
290,217,111,98
291,214,107,97
292,211,106,96
293,211,105,97
294,210,104,97
295,209,101,93
296,215,110,103
297,220,123,116
298,217,122,118
299,216,124,119
300,218,124,116
301,214,113,107
302,212,108,102
303,217,113,104
304,213,110,102
305,196,90,88
306,183,79,84
307,181,78,84
308,174,72,81
309,168,67,75
310,167,64,73
311,164,61,72
312,167,63,73
313,166,60,70
314,162,60,72
315,166,69,77
316,169,76,81
317,172,83,86
318,184,103,100
319,188,110,103
320,229,142,117
321,232,144,114
322,231,145,112
323,227,139,110
324,226,134,107
325,228,133,106
326,229,137,109
327,232,141,108
328,234,143,108
329,234,144,111
330,235,145,110
331,235,143,111
332,233,142,114
333,231,140,114
334,232,139,112
335,233,141,113
336,233,144,115
337,233,143,113
338,236,148,113
339,237,150,114
340,234,148,115
341,235,149,115
342,236,151,114
343,235,150,114
344,234,149,114
345,235,150,117
346,235,150,118
347,235,149,118
348,235,149,119
349,234,151,121
350,234,151,122
351,237,151,120
352,238,153,118
353,238,155,119
354,238,156,121
355,237,155,123
356,238,155,122
357,236,153,121
358,235,149,123
359,236,151,124
360,234,148,123
361,232,144,119
362,233,145,119
363,234,150,124
364,234,154,123
365,234,152,123
366,233,150,121
367,232,149,122
368,232,148,123
369,235,146,122
370,237,147,122
371,239,153,124
372,241,156,126
373,242,159,124
374,244,159,123
375,243,156,123
376,241,153,119
377,238,148,117
378,235,146,116
379,233,144,115
380,230,141,114
381,230,138,111
382,227,134,108
383,226,133,108
384,236,151,121
385,237,149,113
386,233,140,108
387,229,135,109
388,229,136,109
389,231,136,108
390,231,137,110
391,234,139,109
392,234,139,108
393,234,137,108
394,234,139,109
395,234,139,108
396,234,139,112
397,233,138,113
398,232,138,114
399,233,139,113
400,235,143,112
401,236,147,115
402,239,152,118
403,238,151,118
404,236,149,117
405,237,150,114
406,238,152,116
407,237,151,115
408,236,150,114
409,237,151,116
410,238,153,118
411,237,152,120
412,237,154,119
413,236,155,119
414,237,156,122
415,238,157,123
416,238,157,120
417,238,160,124
418,240,164,126
419,241,165,127
420,240,163,125
421,237,158,124
422,235,155,121
423,238,157,124
424,237,156,126
425,238,155,125
426,237,156,124
427,238,159,127
428,238,162,124
429,238,161,125
430,237,159,125
431,236,158,124
432,235,155,123
433,233,149,124
434,234,151,123
435,234,155,122
436,235,159,125
437,235,161,124
438,232,159,124
439,230,157,125
440,233,159,122
441,233,158,123
442,232,159,123
443,234,163,123
444,236,165,125
445,238,165,129
446,241,166,128
447,240,167,128
448,221,120,110
449,220,114,98
450,217,110,96
451,219,113,98
452,222,113,91
453,220,111,93
454,222,112,94
455,224,113,93
456,225,112,93
457,223,109,90
458,222,108,91
459,220,106,89
460,219,107,92
461,219,109,96
462,220,111,97
463,219,108,94
464,221,111,96
465,223,116,98
466,225,119,98
467,225,118,98
468,226,120,99
469,227,122,101
470,230,123,100
471,230,124,100
472,231,124,100
473,231,125,102
474,232,127,102
475,232,128,105
476,231,129,106
477,230,129,107
478,231,129,104
479,232,132,108
480,232,132,107
481,231,131,107
482,234,135,110
483,235,139,111
484,235,138,110
485,235,135,110
486,236,135,106
487,237,137,107
488,237,138,111
489,238,141,113
490,238,144,114
491,237,141,110
492,232,142,126
493,236,146,124
494,237,142,115
495,238,143,114
496,231,133,111
497,234,149,130
498,231,135,112
499,235,140,116
500,236,141,113
501,240,145,112
502,239,147,113
503,235,147,117
504,237,147,115
505,238,146,112
506,237,149,114
507,233,149,112
508,234,151,114
509,238,154,119
510,229,148,120
511,224,144,119
512,166,67,90
513,168,62,83
514,167,64,81
515,167,62,78
516,168,60,73
517,165,57,72
518,166,59,74
519,164,55,70
520,160,53,70
521,157,50,68
522,158,51,70
523,158,52,71
524,158,52,70
525,158,53,73
526,156,53,75
527,152,49,70
528,157,51,70
529,161,52,69
530,161,52,68
531,161,53,70
532,160,55,73
533,161,53,71
534,160,52,69
535,160,54,70
536,161,55,71
537,161,54,71
538,161,54,70
539,164,55,72
540,163,59,78
541,164,59,78
542,165,57,75
543,165,60,77
544,166,59,74
545,169,58,72
546,175,63,74
547,177,63,72
548,175,63,72
549,174,62,73
550,171,57,68
551,173,62,75
552,177,67,83
553,176,66,75
554,174,63,71
555,179,68,82
556,180,84,108
557,165,58,75
558,173,62,73
559,165,57,71
560,182,98,109
561,174,85,98
562,198,111,120
563,202,127,134
564,187,100,107
565,183,97,101
566,173,85,99
567,174,88,109
568,186,97,108
569,190,94,101
570,175,84,97
571,169,83,101
572,158,76,97
573,136,57,83
574,121,47,81
575,116,42,78
576,164,69,89
577,166,63,83
578,167,61,77
579,167,60,75
580,166,60,77
581,165,60,77
582,165,57,75
583,160,55,74
584,151,51,72
585,152,51,72
586,154,51,72
587,154,54,75
588,153,54,75
589,153,51,72
590,151,50,73
591,146,46,70
592,152,50,71
593,155,52,72
594,155,52,70
595,156,52,71
596,157,53,73
597,153,51,71
598,151,49,70
599,152,50,70
600,151,49,71
601,149,48,70
602,146,45,68
603,147,47,70
604,150,48,71
605,151,52,77
606,149,49,75
607,150,51,76
608,150,46,69
609,157,50,70
610,164,56,72
611,164,55,70
612,162,51,68
613,157,56,79
614,157,60,87
615,160,62,91
616,157,54,75
617,149,46,66
618,152,51,78
619,162,67,97
620,159,61,89
621,161,71,104
622,151,58,92
623,145,61,92
624,149,86,111
625,134,67,96
626,128,63,94
627,96,30,71
628,85,25,68
629,87,28,72
630,87,25,73
631,86,22,68
632,91,24,68
633,100,34,78
634,101,35,79
635,95,29,73
636,86,24,68
637,81,21,66
638,86,23,66
639,85,21,63
640,176,76,87
641,178,72,83
642,180,72,81
643,180,72,80
644,179,71,80
645,178,70,79
646,179,70,81
647,175,66,77
648,169,63,77
649,169,66,82
650,171,65,80
651,171,63,79
652,171,66,81
653,170,64,78
654,168,61,76
655,168,62,77
656,172,64,77
657,173,66,77
658,173,64,75
659,174,64,76
660,172,65,78
661,171,64,77
662,170,64,77
663,171,63,75
664,170,62,75
665,168,61,76
666,168,62,76
667,170,63,78
668,172,65,80
669,172,66,81
670,171,66,82
671,173,67,82
672,172,64,77
673,177,66,75
674,193,76,81
675,189,69,75
676,189,81,98
677,190,76,86
678,188,100,131
679,183,88,116
680,182,73,93
681,190,85,104
682,186,88,111
683,183,83,105
684,179,86,114
685,152,66,99
686,136,60,100
687,112,44,86
688,104,42,85
689,81,21,65
690,71,8,54
691,88,22,64
692,89,25,67
693,93,27,69
694,89,21,62
695,87,20,61
696,90,26,70
697,88,24,65
698,84,19,62
699,90,25,67
700,90,26,68
701,92,28,69
702,92,29,71
703,96,33,75
704,176,76,87
705,177,72,82
706,177,71,81
707,176,71,80
708,176,71,80
709,175,69,78
710,176,70,80
711,175,66,76
712,171,65,76
713,170,67,81
714,171,66,80
715,172,67,81
716,171,65,78
717,172,67,80
718,170,65,79
719,171,64,76
720,177,66,77
721,177,67,77
722,174,65,75
723,174,64,76
724,173,63,75
725,172,61,74
726,174,64,75
727,174,64,75
728,173,63,75
729,172,62,74
730,171,62,76
731,174,65,78
732,177,68,81
733,177,68,81
734,175,69,83
735,176,67,80
736,178,64,75
737,179,68,77
738,171,69,77
739,191,84,94
740,189,100,131
741,171,83,114
742,152,77,118
743,143,59,104
744,137,55,102
745,130,52,98
746,133,56,104
747,118,47,94
748,121,53,99
749,116,56,100
750,110,47,91
751,110,48,91
752,108,40,83
753,107,40,84
754,106,44,90
755,101,35,76
756,95,33,73
757,84,17,59
758,86,19,65
759,94,30,73
760,99,35,76
761,86,25,67
762,93,29,72
763,90,25,66
764,94,28,70
765,98,34,77
766,103,36,79
767,113,43,84
768,176,76,86
769,176,71,80
770,176,68,77
771,176,69,77
772,176,68,78
773,175,68,78
774,178,69,77
775,179,68,77
776,174,67,78
777,172,66,78
778,173,67,80
779,172,67,81
780,173,67,79
781,172,66,78
782,170,67,82
783,172,64,78
784,179,66,76
785,177,65,75
786,173,63,75
787,173,63,74
788,173,63,74
789,173,63,74
790,176,63,75
791,175,64,76
792,172,64,75
793,173,61,73
794,173,62,75
795,174,63,77
796,175,64,78
797,177,66,80
798,177,67,80
799,176,65,78
800,174,56,69
801,156,45,63
802,143,61,88
803,197,116,135
804,153,87,131
805,129,69,121
806,134,69,117
807,130,67,121
808,127,60,110
809,114,51,106
810,123,65,115
811,101,40,87
812,93,31,77
813,97,37,83
814,90,31,78
815,100,36,82
816,107,39,83
817,97,32,78
818,119,61,108
819,101,36,78
820,85,21,67
821,96,37,85
822,110,52,98
823,95,32,75
824,88,26,71
825,94,32,76
826,93,31,74
827,88,25,68
828,90,27,69
829,95,35,79
830,99,37,81
831,108,39,84
832,181,78,86
833,181,78,84
834,184,76,82
835,184,75,81
836,183,75,81
837,183,74,81
838,188,75,81
839,188,76,83
840,182,72,81
841,179,72,82
842,179,72,82
843,179,72,81
844,179,71,79
845,180,71,79
846,179,72,83
847,178,70,81
848,184,73,80
849,184,73,78
850,180,69,76
851,179,66,74
852,176,65,73
853,174,61,71
854,178,61,70
855,178,64,73
856,177,66,75
857,177,65,75
858,178,65,76
859,178,66,77
860,181,70,81
861,183,71,81
862,184,71,81
863,179,64,75
864,186,83,93
865,158,75,93
866,183,106,126
867,145,79,117
868,113,56,105
869,129,59,107
870,125,67,117
871,117,56,112
872,114,55,108
873,110,53,101
874,96,35,83
875,96,34,85
876,101,38,93
877,98,38,93
878,97,35,87
879,88,26,77
880,83,18,67
881,118,53,99
882,122,60,106
883,106,40,86
884,119,58,104
885,122,68,111
886,114,55,96
887,105,41,81
888,99,35,77
889,97,37,80
890,94,33,76
891,93,30,73
892,94,32,77
893,97,35,79
894,104,47,92
895,120,65,109
896,194,88,89
897,194,88,89
898,194,86,88
899,194,85,86
900,194,85,86
901,194,84,86
902,198,84,86
903,199,83,84
904,192,79,84
905,189,78,85
906,189,79,85
907,189,79,84
908,190,79,84
909,191,80,85
910,188,76,83
911,183,69,79
912,185,68,78
913,179,64,76
914,175,60,75
915,174,63,77
916,170,63,77
917,168,61,75
918,167,56,71
919,163,48,66
920,166,51,67
921,181,67,74
922,190,77,82
923,191,79,85
924,196,87,89
925,195,81,85
926,197,79,81
927,188,76,86
928,210,123,111
929,232,166,140
930,184,125,128
931,96,28,78
932,105,39,91
933,106,46,100
934,107,52,111
935,112,59,115
936,114,60,115
937,105,43,98
938,105,43,95
939,114,61,116
940,127,82,135
941,137,98,148
942,126,78,129
943,124,78,129
944,126,83,134
945,103,44,94
946,103,43,92
947,97,35,80
948,92,26,70
949,90,23,65
950,89,25,69
951,91,29,72
952,93,32,74
953,98,35,75
954,102,36,76
955,100,37,79
956,107,49,93
957,99,39,87
958,100,38,87
959,109,43,88
960,201,93,90
961,201,92,89
962,200,91,90
963,200,90,88
964,199,89,89
965,196,88,88
966,201,88,87
967,202,87,87
968,196,83,85
969,193,81,85
970,194,81,86
971,196,83,86
972,195,83,86
973,191,80,86
974,187,78,86
975,196,100,99
976,211,123,110
977,216,135,115
978,227,155,123
979,232,162,125
980,232,162,120
981,239,177,132
982,237,178,137
983,223,156,125
984,197,115,105
985,173,70,79
986,172,56,70
987,182,63,74
988,192,72,79
989,196,80,84
990,204,88,89
991,219,115,108
992,226,119,105
993,211,119,109
994,104,48,87
995,93,28,86
996,132,77,133
997,122,73,130
998,131,89,148
999,126,80,137
1000,119,67,127
1001,124,72,130
1002,112,51,103
1003,132,77,131
1004,127,78,133
1005,139,98,151
1006,135,94,146
1007,112,55,109
1008,140,93,141
1009,133,88,136
1010,115,57,105
1011,100,43,90
1012,96,34,82
1013,95,31,75
1014,94,27,69
1015,90,26,68
1016,91,31,74
1017,86,21,64
1018,89,24,66
1019,88,26,68
1020,105,46,89
1021,126,72,120
1022,124,67,117
1023,114,53,98
1024,204,99,96
1025,204,95,91
1026,205,94,89
1027,204,94,91
1028,202,93,90
1029,200,90,89
1030,204,91,88
1031,205,89,88
1032,199,87,88
1033,197,84,87
1034,199,86,89
1035,199,86,88
1036,200,86,89
1037,204,99,94
1038,215,126,108
1039,223,137,111
1040,220,128,104
1041,214,115,97
1042,222,121,99
1043,230,134,104
1044,233,140,104
1045,235,152,111
1046,243,171,120
1047,251,187,130
1048,254,196,138
1049,238,180,137
1050,206,128,116
1051,207,124,113
1052,199,100,98
1053,197,83,86
1054,188,93,90
1055,184,99,95
1056,211,118,113
1057,117,34,70
1058,109,55,114
1059,137,87,142
1060,133,80,132
1061,116,61,110
1062,125,74,122
1063,125,78,125
1064,144,103,151
1065,144,102,154
1066,115,61,117
1067,115,56,111
1068,126,71,126
1069,121,71,127
1070,139,101,155
1071,135,90,145
1072,109,52,106
1073,132,88,138
1074,124,75,122
1075,105,50,100
1076,111,51,102
1077,93,30,78
1078,87,23,69
1079,91,27,73
1080,93,32,78
1081,91,28,73
1082,87,25,66
1083,88,25,68
1084,94,32,76
1085,102,44,91
1086,117,63,109
1087,120,62,109
1088,203,101,100
1089,204,98,94
1090,206,97,92
1091,205,95,92
1092,205,94,92
1093,203,92,91
1094,204,91,91
1095,204,90,88
1096,203,89,89
1097,201,85,88
1098,201,86,88
1099,202,89,89
1100,197,87,89
1101,188,77,82
1102,179,69,81
1103,173,60,78
1104,169,57,75
1105,172,61,78
1106,182,69,81
1107,207,93,87
1108,218,106,93
1109,226,124,98
1110,222,116,89
1111,211,100,89
1112,225,136,109
1113,236,164,126
1114,249,194,142
1115,241,180,134
1116,223,145,122
1117,213,112,96
1118,150,59,74
1119,128,54,90
1120,134,54,82
1121,93,30,85
1122,114,54,105
1123,110,54,105
1124,89,24,70
1125,92,22,67
1126,93,25,68
1127,92,27,72
1128,97,37,82
1129,119,68,116
1130,151,104,148
1131,124,75,127
1132,117,66,121
1133,137,92,142
1134,136,80,131
1135,143,105,160
1136,135,98,150
1137,131,89,138
1138,108,54,109
1139,103,45,99
1140,118,61,115
1141,116,60,112
1142,99,38,87
1143,103,43,91
1144,104,45,93
1145,108,52,104
1146,89,31,79
1147,97,30,73
1148,103,44,87
1149,103,47,91
1150,106,48,93
1151,117,64,108
1152,202,97,93
1153,205,98,94
1154,207,98,94
1155,206,96,94
1156,205,93,91
1157,204,90,90
1158,206,92,92
1159,208,92,92
1160,205,87,89
1161,208,90,89
1162,208,91,89
1163,191,80,84
1164,185,76,84
1165,182,74,84
1166,183,75,85
1167,186,77,85
1168,182,73,84
1169,181,70,82
1170,180,71,84
1171,183,70,80
1172,188,74,81
1173,206,92,86
1174,206,97,89
1175,203,101,102
1176,201,101,98
1177,199,99,95
1178,204,100,96
1179,185,73,82
1180,184,69,78
1181,200,85,93
1182,201,111,128
1183,174,81,93
1184,102,38,87
1185,108,45,97
1186,98,35,88
1187,95,31,85
1188,88,24,73
1189,87,22,65
1190,82,16,62
1191,86,18,63
1192,113,39,67
1193,142,60,86
1194,122,54,90
1195,126,64,109
1196,170,97,133
1197,155,93,136
1198,153,73,117
1199,170,110,151
1200,144,109,158
1201,126,77,133
1202,138,93,146
1203,129,78,131
1204,119,67,121
1205,122,70,122
1206,115,64,116
1207,100,44,98
1208,105,53,104
1209,126,79,126
1210,135,93,143
1211,96,36,84
1212,101,42,91
1213,104,46,92
1214,105,43,85
1215,98,35,78
1216,203,100,96
1217,205,98,93
1218,207,97,93
1219,206,96,95
1220,205,94,95
1221,206,92,94
1222,209,94,95
1223,209,91,92
1224,208,93,91
1225,204,95,91
1226,192,80,82
1227,183,74,84
1228,187,80,89
1229,188,79,85
1230,190,78,85
1231,190,78,86
1232,190,80,88
1233,185,74,84
1234,188,75,85
1235,184,73,84
1236,179,69,82
1237,193,84,93
1238,191,84,93
1239,180,78,91
1240,193,88,99
1241,198,92,101
1242,185,82,98
1243,186,85,100
1244,198,91,97
1245,200,103,121
1246,171,72,95
1247,121,42,85
1248,116,57,111
1249,104,40,94
1250,119,59,117
1251,121,67,125
1252,122,65,116
1253,94,31,70
1254,116,41,74
1255,113,41,77
1256,89,27,67
1257,103,36,71
1258,116,39,77
1259,200,132,145
1260,218,126,125
1261,208,137,149
1262,176,121,132
1263,136,76,107
1264,150,100,138
1265,139,89,137
1266,157,120,165
1267,154,117,161
1268,142,95,145
1269,129,82,134
1270,142,100,149
1271,148,108,156
1272,127,88,136
1273,91,33,78
1274,140,94,143
1275,139,99,144
1276,126,73,122
1277,128,78,128
1278,111,51,97
1279,101,35,78
1280,207,101,98
1281,207,100,96
1282,207,98,93
1283,207,96,93
1284,208,95,94
1285,208,92,93
1286,208,91,93
1287,209,94,95
1288,197,95,98
1289,184,75,83
1290,185,77,87
1291,189,85,92
1292,188,83,90
1293,187,80,88
1294,191,82,90
1295,193,87,95
1296,197,89,94
1297,192,83,91
1298,196,85,92
1299,189,80,89
1300,202,99,104
1301,205,105,108
1302,184,86,97
1303,199,95,102
1304,201,99,104
1305,191,90,102
1306,190,91,107
1307,191,87,100
1308,196,89,102
1309,146,54,85
1310,102,38,88
1311,109,47,104
1312,126,64,120
1313,132,79,131
1314,140,93,147
1315,139,93,149
1316,116,66,112
1317,90,16,55
1318,136,50,81
1319,163,78,93
1320,116,54,94
1321,112,48,89
1322,186,124,138
1323,212,171,164
1324,198,129,124
1325,202,133,116
1326,122,61,86
1327,85,27,70
1328,127,82,119
1329,162,113,142
1330,129,75,112
1331,141,95,137
1332,157,119,157
1333,156,121,159
1334,151,106,146
1335,139,89,134
1336,122,73,123
1337,106,49,95
1338,127,65,109
1339,136,85,129
1340,118,65,105
1341,123,69,112
1342,119,64,112
1343,110,50,98
1344,210,101,99
1345,210,100,95
1346,210,99,95
1347,209,97,94
1348,207,95,94
1349,206,94,93
1350,208,91,91
1351,205,105,109
1352,190,99,106
1353,187,82,90
1354,190,87,94
1355,187,86,93
1356,184,83,92
1357,190,88,95
1358,198,93,99
1359,199,95,99
1360,193,88,98
1361,199,89,96
1362,192,83,94
1363,202,100,106
1364,207,106,107
1365,189,93,102
1366,203,102,106
1367,202,102,108
1368,189,87,99
1369,191,92,110
1370,193,93,112
1371,203,95,104
1372,134,47,82
1373,99,32,83
1374,101,45,97
1375,111,52,103
1376,97,38,86
1377,92,29,73
1378,113,55,102
1379,116,64,110
1380,141,75,102
1381,159,78,100
1382,181,104,116
1383,128,53,77
1384,88,17,60
1385,181,118,132
1386,201,142,135
1387,175,91,96
1388,162,93,99
1389,93,32,72
1390,81,17,64
1391,90,26,69
1392,80,21,68
1393,109,54,95
1394,131,76,114
1395,150,97,127
1396,120,61,100
1397,120,63,109
1398,159,118,157
1399,110,52,88
1400,138,92,137
1401,131,80,120
1402,95,28,65
1403,94,27,66
1404,85,19,59
1405,80,18,59
1406,90,28,70
1407,126,63,102
1408,208,101,97
1409,209,99,95
1410,209,99,95
1411,210,96,92
1412,208,95,96
1413,207,95,97
1414,211,94,93
1415,198,97,105
1416,185,92,103
1417,190,93,99
1418,191,90,95
1419,184,85,94
1420,188,91,99
1421,198,100,105
1422,203,105,108
1423,194,94,100
1424,199,98,102
1425,189,85,94
1426,203,107,112
1427,210,115,114
1428,192,97,104
1429,207,106,109
1430,204,104,105
1431,194,93,102
1432,198,94,102
1433,190,92,114
1434,190,92,118
1435,149,57,85
1436,103,29,73
1437,92,26,75
1438,98,30,77
1439,96,32,78
